time_s,cmd_v,cmd_w,target_vL,target_vR,left_ticks,right_ticks,meas_vL,meas_vR,duty_L,duty_R
21.017,0.3000,-1.5000,0.4125,0.1875,996,1136,0.4084,0.4084,46.77,45.00
21.066,0.2998,-1.5000,0.4123,0.1873,999,1140,0.3403,0.3744,54.05,45.00
21.117,0.2998,-1.5000,0.4123,0.1873,1004,1144,0.4084,0.4084,46.78,45.00
21.172,0.0308,-1.5000,0.1433,-0.0817,1008,1147,0.4084,0.3744,45.00,45.00
21.217,0.0308,-1.5000,0.1433,-0.0817,1012,1151,0.4424,0.3744,45.00,45.00
21.266,-0.3000,-1.5000,-0.1875,-0.4125,1015,1151,0.3744,0.2382,45.00,66.40
21.317,-0.3000,-1.5000,-0.1875,-0.4125,1016,1151,0.2723,0.1361,45.00,72.95
21.366,-0.3000,-1.5000,-0.1875,-0.4125,1018,1152,0.2042,0.0340,45.00,80.55
21.417,-0.3000,-1.5000,-0.1875,-0.4125,1019,1154,0.1361,0.1021,50.96,71.54
21.466,-0.3000,-1.5000,-0.1875,-0.4125,1020,1155,0.1361,0.1361,49.97,67.84
21.517,-0.3000,-1.5000,-0.1875,-0.4125,1024,1159,0.2042,0.2382,45.00,57.85
21.566,-0.3000,-1.5000,-0.1875,-0.4125,1026,1161,0.2382,0.2382,45.00,59.07
21.616,-0.3000,-1.5000,-0.1875,-0.4125,1030,1165,0.3403,0.3403,45.00,49.46
21.666,-0.3000,-1.5000,-0.1875,-0.4125,1033,1167,0.3063,0.2723,45.00,57.69
21.716,-0.3000,-1.5000,-0.1875,-0.4125,1038,1173,0.4084,0.4084,45.00,45.00
21.766,-0.3000,-1.5000,-0.1875,-0.4125,1040,1176,0.3403,0.3744,45.00,48.82
21.816,-0.3000,-1.5000,-0.1875,-0.4125,1044,1180,0.3744,0.4424,45.00,45.00
21.866,-0.3000,-1.5000,-0.1875,-0.4125,1048,1183,0.3403,0.3403,45.00,53.44
21.916,-0.3000,-1.5000,-0.1875,-0.4125,1050,1188,0.3403,0.4084,45.00,46.04
21.966,-0.3000,-1.5000,-0.1875,-0.4125,1053,1191,0.3063,0.3744,45.00,49.87
22.016,-0.3000,-1.5000,-0.1875,-0.4125,1058,1196,0.3403,0.4424,45.00,45.00
22.073,-0.3000,-1.5000,-0.1875,-0.4125,1060,1199,0.3403,0.3744,45.00,50.33
22.116,-0.3000,-1.5000,-0.1875,-0.4125,1065,1203,0.4084,0.4084,45.00,46.55
22.166,-0.3000,-1.5000,-0.1875,-0.4125,1068,1206,0.3403,0.3403,45.00,53.58
22.216,-0.3000,-1.5000,-0.1875,-0.4125,1073,1211,0.4424,0.4084,45.00,46.18
22.267,-0.3000,-1.5000,-0.1875,-0.4125,1076,1214,0.3744,0.3744,45.00,50.00
22.317,-0.3000,-1.5000,-0.1875,-0.4125,1081,1219,0.4424,0.4424,45.00,45.00
22.369,-0.3000,-1.5000,-0.1875,-0.4125,1084,1222,0.3744,0.3744,45.00,50.46
22.416,-0.3000,-1.5000,-0.1875,-0.4125,1088,1227,0.4084,0.4424,45.00,45.00
22.466,-0.3000,-1.5000,-0.1875,-0.4125,1092,1231,0.3744,0.4084,45.00,47.14
22.517,-0.3000,-1.5000,-0.1875,-0.4125,1096,1235,0.4084,0.4424,45.00,45.00
22.569,-0.3000,-1.5000,-0.1875,-0.4125,1101,1238,0.4424,0.3744,45.00,50.75
22.626,-0.3000,-1.5000,-0.1875,-0.4125,1104,1240,0.4084,0.3063,45.00,57.13
22.667,-0.3000,-1.5000,-0.1875,-0.4125,1107,1242,0.3744,0.2382,45.00,63.17
22.716,-0.3000,-1.5000,-0.1875,-0.4125,1108,1243,0.2382,0.1702,45.00,69.06
22.766,-0.3000,-1.5000,-0.1875,-0.4125,1109,1244,0.1702,0.1361,45.00,71.48
22.817,-0.3000,-1.5000,-0.1875,-0.4125,1111,1245,0.1361,0.1021,46.90,74.23
22.866,-0.3000,-1.5000,-0.1875,-0.4125,1112,1247,0.1361,0.1361,45.89,70.27
22.916,-0.3000,-1.5000,-0.1875,-0.4125,1113,1249,0.1361,0.1702,45.40,67.04
22.966,-0.3000,-1.5000,-0.1875,-0.4125,1115,1251,0.1361,0.2042,45.18,64.15
23.016,-0.3000,-1.5000,-0.1875,-0.4125,1115,1253,0.1021,0.2042,48.54,64.85
23.066,-0.3000,-1.5000,-0.1875,-0.4125,1117,1255,0.1361,0.2042,45.00,65.31
23.117,-0.3000,-1.5000,-0.1875,-0.4125,1117,1258,0.0681,0.2382,51.84,62.20
23.174,-0.3000,-1.5000,-0.1875,-0.4125,1117,1260,0.0681,0.2382,51.35,62.78
23.216,-0.3000,-1.5000,-0.1875,-0.4125,1117,1264,0.0000,0.3063,58.04,56.28
